491,Eastern (Greentown),Eastern (Greentown) Jr & Sr High School,421 S. Harrison St.,Greentown,46936,46936
486,Whitko,Whitko High School,1 Big Blue Ave,South Whitley,46787,46787-1499
480,Frankton,Frankton Jr-Sr High School,610 Clyde St,Frankton,46044,46044-9360
473,Eastern (Pekin),Eastern (Pekin) High School  ,1100 N. Eastern School Rd. E-3,Pekin,47165,47165
470,Lapel Sr,Lapel Sr High School,1850 S 900 W,Lapel,46051,46051-9660
468,Paoli Jr,Paoli Jr & Sr High School,501 Elm St,Paoli,47454,47454-1198
468,Triton Central,Triton Central High School,4774 W 600 N,Fairland,46126,46126-9713
466,Lewis Cass,Lewis Cass Jr-Sr High School  ,6422 E SR 218 W,Walton,46994,46994-0410
464,Clarksville Senior,Clarksville Senior High School,800 Dr Dot Lewis Dr,Clarksville,47129,47129-2399
463,Centerville Sr,Centerville Sr High School,507 Willow Grove Rd,Centerville,47330,47330-1499
458,Gary Roosevelt,Gary Roosevelt Car & Tech Academy,730 W. 25th Ave.,Gary,46407,46407
457,Crawford County,Crawford County High School,1130 S SR 66,Marengo,47140,47140-0387
457,Cascade Senior,Cascade Senior High School,6565 S CR 200 W,Clayton,46118,46118-4908
457,Indianapolis George,Indianapolis George Washington Community  ,2215 W. Washington St.,Indianapolis,46222,46222
456,North Putnam,North Putnam Middle School,8905 N CR 250 E,Roachdale,46172,46172-9734
449,Indianapolis Scecina,Indianapolis Scecina Memorial School  ,5000 Nowland Ave.,Indianapolis,46201,46201
447,Bowman Leadership,Bowman Leadership Academy   ,3401 West 5th Avenue,Gary,46406,46406
447,Elwood Community,Elwood Community High School  ,1137 N. 19th St.,Elwood,46036,46036
446,Winchester Community,Winchester Community High School,700 Union St,Winchester,47394,47394-1298
444,Union County,Union County High School,410 E Patriot Blvd,Liberty,47353,47353-1295
443,Bluffton,Bluffton High School,1 Tiger Trl,Bluffton,46714,46714-2499
442,Shenandoah,Shenandoah High School,7354 W US 36,Middletown,47356,47356-9700
440,North Newton,North Newton Jr-Sr High School,1641 W 250 N,Morocco,47963,47963-9643
439,River Forest,River Forest High School,3300 Indiana St,Hobart,46342,46342-1061
437,Providence,Providence High School   ,707 Providence Way,Clarksville,47129,47129-1599
434,Whiting,Whiting High School,1751 Oliver St,Whiting,46394,46394-1742
430,Delphi Community,Delphi Community Middle School,401 Armory Rd,Delphi,46923,46923-1999
427,Wabash,Wabash High School,580 N Miami St,Wabash,46992,46992-1704
425,Eastern Hancock,Eastern Hancock Middle School,10380 E 250 N,Charlottesville,46117,46117-9725
421,Tell City,Tell City Jr-Sr High School,900 12th St,Tell City,47586,47586-1699
419,Northeastern,Northeastern High School,7295 N US 27,Fountain City,47341,47341-9523
416,Westview,Westview Jr-Sr High School,1635 S 600 W,Topeka,46571,46571-9741
415,Prairie Heights,Prairie Heights Elementary School,0455 S 1150 E,LaGrange,46761,46761-9653
413,Taylor,Taylor High School,3794 E CR 300 S,Kokomo,46902,46902-9509
411,Milan,Milan High School,609 N Warpath Dr,Milan,47031,47031-9551
407,South Spencer,South Spencer High School,1142 N Orchard Rd,Rockport,47635,47635-9801
407,Heritage Christian,Heritage Christian School,6401 E 75th St,Indianapolis,46250,46250-2799
404,Switzerland Co,Switzerland Co Middle School,1004 W Main St,Vevay,47043,47043-9540
403,Park Tudor,Park Tudor School   ,7200 N. College Ave.,Indianapolis,46240,46240
401,Madison-Grant,Madison-Grant High School   ,11700 S.E. 00 W.,Fairmount,46928,46928
398,North Knox,North Knox Primary School,215 E 4th St,Bicknell,47512,47512-1899
397,Forest Park,Forest Park Elementary School,2004 Alabama Ave,Fort Wayne,46805,46805-4490
396,Wapahani,Wapahani High School,10401 E CR 167 S,Selma,47383,47383-9801
394,Austin,Austin High School,401 S Hwy 31,Austin,47102,47102-1397
393,Central Noble,Central Noble Junior Senior HS,302 Cougar Ct,Albion,46701,46701-1397
382,Cloverdale,Cloverdale High School,205 E Market,Cloverdale,46120,46120-9402
381,Knightstown,Knightstown High School,8149 W US Hwy 40,Knightstown,46148,46148-0000
381,Lake Station,Lake Station Edison Jr-Sr High School,3304 Parkside Ave.,Lake Station,46405,46405
379,Perry Central,Perry Central Elementary School,18677 Old SR 37,Leopold,47551,47551-1099
377,Eastern Greene,Eastern Greene Elementary School,10503 E SR 54,Bloomfield,47424,47424-9511
377,Winamac Community,Winamac Community Middle School,715 School Dr,Winamac,46996,46996-1500
375,Adams Central,Adams Central Middle School,222 W Washington St,Monroe,46772,46772-9436
375,Seeger Memorial,Seeger Memorial Jr-Sr High School,1222 S SR 263,West Lebanon,47991,47991-9801
372,Eastside Junior-Senior,Eastside Junior-Senior High School,603 E Green St,Butler,46721,46721-1135
371,Indianapolis Arlington,Indianapolis Arlington Community HS  ,4825 N. Arlington Ave.,Indianapolis,46226,46226
370,Hebron,Hebron High School,509 S Main St,Hebron,46341,46341-0066
370,Monroe Central,Monroe Central Jr-Sr High School,1878 N CR 1000 W,Parker City,47368,47368-9801
369,South Adams,South Adams Middle School,1212 Starfire Way,Berne,46711,46711-0000
369,Fort Wayne,Fort Wayne Canterbury School   ,3210 Smith Rd.,Fort Wayne,46804,46804
368,North Judson-San,North Judson-San Pierre Elem Sch,809 W Talmer Ave,North Judson,46366,46366-1347
367,Churubusco,Churubusco Jr-Sr High School,1 Eagle Dr,Churubusco,46723,46723-1419
366,Linton-Stockton,Linton-Stockton High School,10 NE H St,Linton,47441,47441-1155
366,South Knox,South Knox Elementary School,6078 E SR 61,Vincennes,47591,47591-0000
363,South Putnam,South Putnam Middle School,1780 E US Hwy 40,Greencastle,46135,46135-0000
363,Laville,Laville Jr-Sr High School  ,69969 US Highway 931 S.,Lakeville,46536,46536
361,Signature School,Signature School Inc,610 Main St,Evansville,47708,47708-1417
361,Indianapolis Shortridge,Indianapolis Shortridge Law & Public Policy,3401 N. Meridian,Indianapolis,46208,46208
359,Southwestern (Hanover),Southwestern (Hanover) Middle/Sr High School ,167 S. Main Cross,Hanover,47243,47243
357,Indianapolis Howe,Indianapolis Howe Comm High School ,4900 Julian Ave.,Indianapolis,46201,46201
354,South Ripley,South Ripley Junior High School,1589 S Benham Rd,Versailles,47042,47042-0218
353,Carroll (Flora),Carroll (Flora) Jr-Sr High School ,2362 E. State Road 18,Flora,46929,46929
350,Fountain Central,Fountain Central High School,750 E US Hwy 136,Veedersburg,47987,47987-9802
349,Henryville Jr,Henryville Jr & Sr High School,213 N Ferguson St,Henryville,47126,47126-9706
342,Irvington Preparatory,Irvington Preparatory Academy   ,5751 University Avenue,Indianapolis,46219,46219
341,Hagerstown,Hagerstown Jr-Sr High School,701 Baker Rd,Hagerstown,47346,47346-1001
334,Covenant Christian,Covenant Christian High School,PO Box 430,DeMotte,46310,46310-9285
331,Cambridge City,Cambridge City Lincoln Sr High School,205 E. Parkway Dr.,Cambridge City,47327,47327
330,Clinton Prairie,Clinton Prairie Jr-Sr High School,2400 S CR 450 W,Frankfort,46041,46041-7413
329,Sheridan,Sheridan High School,24185 N Hinesley Rd,Sheridan,46069,46069-9349
329,North Decatur,North Decatur Elementary School,3300 N SR 3,Greensburg,47240,47240-9799
320,North Miami,North Miami Middle/High School,570 E 900 N,Denver,46926,46926-9745
313,South Decatur,South Decatur Jr-Sr High School,8885 S SR 3,Greensburg,47240,47240-9805
313,Rossville Senior,Rossville Senior High School  ,"PO Box 530, 1 Egly Dr.",Rossville,46065,46065
309,Covington Community,Covington Community High School,1017 6th St,Covington,47932,47932-1096
309,Tecumseh,Tecumseh Jr-Sr High Sch  ,5244 W. State Route 68,Lynnville,47619,47619
306,North Daviess,North Daviess Elementary School,5498 E SR 58,Elnora,47529,47529-0000
304,Northfield,Northfield Jr-Sr High School,154 W 200 N,Wabash,46992,46992-9137
304,Riverton Parke,Riverton Parke Jr-Sr High School,4907 S Coxville Rd,Montezuma,47862,47862-9718
303,Fremont,Fremont High School,PO Box 655,Fremont,46737,46737-0655
303,South Central,South Central Elementary,6595 E Hwy 11 SE,Elizabeth,47117,47117-9426
296,Westville Elementary,Westville Elementary School,207 E Valparaiso St,Westville,46391,46391-9712
295,Southwood,Southwood Jr-Sr High School,564 E SR 124,Wabash,46992,46992-0000
291,Lafayette Central,Lafayette Central Catholic Jr-Sr High School,2410 S. 9th St.,Lafayette,47909,47909-2499
289,University,University High School of Indiana ,2825 W. 116th Street,Carmel,46032,46032
287,Hammond Academy,Hammond Academy of Science & Tech,33 Muenich Ct,Hammond,46320,46320-0000
285,Tri Junior-Senior,Tri Junior-Senior High School,6972 S St Rd 103,Straughn,47387,47387-9761
283,North Central,North Central High School,1801 E 86th St,Indianapolis,46240,46240-2396
280,Union City,Union City Community Jr/Sr High,603 N Walnut St,Union City,47390,47390-1099
280,West Central,West Central Senior High School,1852 S US 421,Francesville,47946,47946-9706
