Jac-Cen-Del|Jac-Cen-Del Junior-Senior High School|180480000907|Jac-Cen-Del MS/HS|39.142016|-85.295121
Jasper|Jasper High School|180396000685|Jasper High School|38.402437|-86.950229
Jay County|Jay County High School|180498000914|Jay County High School|40.429648|-85.023385
Jeffersonville|Jeffersonville High School|180394000666|Jeffersonville High School|38.317166|-85.711334
Jennings County|Jennings County High School|180519000923|Jennings County High School|38.998829|-85.641632
Jimtown|Jimtown High School|180042000090|Jimtown High School|41.63738|-86.024254
Glenn|John Glenn High School|180912001505|John Glenn High School|41.45653|-86.478841
Kankakee Valley|Kankakee Valley High School|180528000933|Kankakee Valley High School|41.18582|-87.119783
Knightstown|Knightstown High School|180106000189|Knightstown High School|39.79264|-85.541774
Knox|Knox Community High School|180534000938|Knox Community High School|41.285472|-86.625898
Kokomo|Kokomo High School|180537000947|Kokomo High School|40.456143|-86.157291
Kouts|Kouts Middle/High School|180900001497|Kouts Middle/High School|41.314244|-87.022925
LaCrosse|LaCrosse Elementary & High School|180010702511|LaCrosse School|41.31755|-86.889871
Lafayette Central Catholic|Lafayette Central Catholic Junior-Senior High School|wikiPageID:3243171|Lafayette Central Catholic Junior-Senior High School|40.39305556|-86.88583333
Lafayette Jefferson|Jefferson High School|180540000968|Jefferson High School|40.399312|-86.875273
Lake Central|Lake Central High School|180545000984|Lake Central High School|41.468748|-87.473192
Lake Station Edison|Thomas A Edison Jr-Sr HS|180291000380|Thomas A Edison Jr-Sr HS|41.577105|-87.245031
Lakeland Christian Academy|Lakeland Christian Academy|424813|LAKELAND CHRISTIAN ACADEMY|41.21956|-85.798401
Lakeland|Lakeland High School|180552000996|Lakeland High School|41.653851|-85.410299
Lakewood Park Christian|Lakewood Park Christian School|A9300373|LAKEWOOD PARK CHRISTIAN SCHOOL|41.32936|-85.050541
Lanesville|Lanesville Junior-Senior High School|180372000593|Lanesville Jr-Sr HS|38.239163|-85.989548
Lapel|Lapel Senior High School|181288002328|Lapel Sr High School|40.077449|-85.840409
LaPorte|LaPorte High School|180558001015|LaPorte High School|41.600879|-86.727011
Laville|LaVille Jr-Sr High School|181191001879|LaVille Jr-Sr High School|41.478917|-86.30396
Lawrence Central|Lawrence Central High School|180567001029|Lawrence Central High School|39.85598|-86.039537
Lawrence North|Lawrence North High School|180567001031|Lawrence North High School|39.896206|-86.034698
Lawrenceburg|Lawrenceburg High School|180570001037|Lawrenceburg High School|39.099963|-84.853189
Lebanon|Lebanon Senior High School|180579001041|Lebanon Senior High School|40.058205|-86.462162
Leo|Leo Junior/Senior High School|180285000349|Leo Junior/Senior High School|41.219929|-85.017996
Cass|Lewis Cass Junior-Senior High School|181068001755|Lewis Cass Jr-Sr High School|40.662674|-86.251403
Liberty Christian|Liberty Christian School|425624|LIBERTY CHRISTIAN SCHOOL|40.09252|-85.667361
Linton-Stockton|Linton-Stockton High School|180591001049|Linton-Stockton High School|39.041634|-87.166617
Logansport|Logansport Community High School|180603001060|Logansport Comm High School|40.749257|-86.330876
Loogootee|Loogootee Junior-Senior High School|180606001067|Loogootee High School|38.678047|-86.921238
Lowell|Lowell Senior High School|181146001852|Lowell Senior High School|41.291374|-87.393155
Maconaquah|Maconaquah High School|180609001078|Maconaquah High School|40.651724|-86.064951
Madison Consolidated|Madison Consolidated High School|180612001090|Madison Consolidated High Sch|38.773608|-85.401701
Madison-Grant|Madison-Grant High School|180624001097|Madison-Grant High School|40.384039|-85.673829
Manchester|Manchester Junior-Senior High School|180627001103|Manchester Jr-Sr High School|41.009441|-85.772717
Marion|Marion High School|180639001117|Marion High School|40.53881|-85.668787
Marquette Catholic|Marquette Catholic High School|423682|MARQUETTE CATHOLIC HIGH SCHOOL|41.71103|-86.902711
Martinsville|Martinsville High School|180651001135|Martinsville High School|39.419767|-86.411491
Evansville Mater Dei|Mater Dei High School|422576|MATER DEI HIGH SCHOOL|37.98878|-87.616361
McCutcheon|McCutcheon High School|181134001830|McCutcheon High School|40.351069|-86.903213
Medora|Medora Jr & Senior High School|180123000201|Medora Jr & Sr High School|38.82474|-86.172027
Merrillville|Merrillville High School|180969001586|Merrillville High Sch|41.495777|-87.325431
Michigan City|Michigan City High School|180657001160|Michigan City High School|41.677956|-86.863596
Milan|Milan High School|180663001168|Milan High School|39.129559|-85.128433
Mishawaka|Mishawaka High School|180684001183|Mishawaka High School|41.662837|-86.161567
Mishawaka Marian|Mishawaka Marian High School|180684001183|Mishawaka High School|41.662837|-86.161567
Mississinewa|Mississinewa High School|180687001189|Mississinewa High School|40.496779|-85.613718
Mitchell|Mitchell High School|180690001198|Mitchell High School|38.736487|-86.479484
Monroe Central|Monroe Central Junior-Senior High School|180708001202|Monroe Central Jr-Sr High Sch|40.191897|-85.167622
Monrovia|Monrovia High School|180414000716|Monrovia High School|39.575739|-86.477654
Mooresville|Mooresville High School|180714001207|Mooresville High School|39.618765|-86.377079
Morgan Township|Morgan Township Middle/High School|180900001214|Morgan Township Middle/High Scho|41.392104|-87.026034
Morristown|Morristown Junior-Senior High School|180321000418|Morristown Jr-Sr High School|39.672828|-85.701597
Mt. Vernon (Fortville)|Mount Vernon High School|180729001226|Mount Vernon High School|39.901477|-85.844282
Mt. Vernon|Mount Vernon High School|180729001226|Mount Vernon High School|37.93704|-87.88703
Muncie Burris|Burris Laboratory School|180003800185|Burris Laboratory School|40.196684|-85.412285
Muncie Central|Muncie Central High School|180732001242|Muncie Central High School|40.201339|-85.387704
Munster|Munster High School|180735001257|Munster High School|41.553787|-87.502957
New Albany|New Albany Senior High School|180741001277|New Albany Senior High School|38.298443|-85.811293
New Castle|New Castle High School|180744001290|New Castle High School|39.912441|-85.376657
New Haven|New Haven Primary School|180285000345|New Haven Primary School|41.062364|-85.007237
